word,Diminutives,"Include
(Y/N)",Basic Level,Category,Example,TBD,Categories,Code (Y/N),Basic Level,Examples,,Book/Movie/Song title,Word,Code (y/n),Basic level
animal,,y,NA,animals,"unless stuffed animal, and then keep as stuffed+animal",,book characters,y,y,"""Little+blue"" referring to a truck",,Apples and bananas song,"ayples, eeples, ipples (short i), iples (long i), oples, upples (short u), uples (long u)",y,apples
birdie,,y,,animals,,,celebrities,n,NA,"cartoon characters
DO NOT INCLUDE: ""Chris Rock""",,Apples and bananas song,"banaynays, baneenees, baninis (short i), baniiniies (long i), banonos, banuhnuhs (short u), banunus (long u)",y,bananas
bug,,y,bug,animals,,,colors,n,n,"DO NOT INCLUDE: ""Do you see the red?""",,Brown Bear Brown Bear book,"brown+bear (""I see a brown bear"")",y,bear
"bumblebee, bee",,y,"most common form; if equal, use ""bee""",animals,,,flavors,y,NA,"""want some vanilla?"" ""chocolate,"" ""strawberry"" referring to ice cream
DO NOT INCLUDE: ""want some vanilla ice-cream?"" (basic word: ice+cream)",,Brown Bear Brown Bear book,"NOTE: Code twice when said twice in a row. E.g. ""Brown Bear, Brown Bear, what do you see?"" is coded as ""Brown+bear"" two times.",,
doggy,,y,doggy,animals,"If there is both doggy and dog, go with most frequent",,letters,y,y,"""a"" appears on a block, always code in lowercase",,Despicable Me/Minions,minion,y,minion
fishy,,y,fishy,animals,"If there is both fishy and fish, go with most frequent",,made up words,y,y,Dr. Seuss characters,,Dr Suess's ABC,duck+dog,y,duck+dog
goldfish,,y,"if referring to the food, keep as goldfish; if referring to the animal change to fish",animals,,,movies/TV shows,y,NA,,,Dr Suess's ABC,fiffer+feffer+feff,y,fiffer+feffer+feff
herd,,n,,animals,,,numbers,y,y,"""1"" on a block, or ""there's a 1""
DO NOT INCLUDE: ""here are two spoonfuls""",,Dr Suess's ABC,googoo+goggles,y,goggles
"kitty, kitty+cat, kitten",,y,"Collapse kitty+cat with kitty OR cat, if present; collapse kitty and kitten if only those forms are present; do NOT collapse kitty+cat and kitten; if all three forms are present, collapse kitty and kitty+cat and leave kitten separate",animals,,,shapes,y,y,"""triangle,"" ""circle,"" ""star""",,Dr Suess's ABC,quacker+oo,y,quacker+oo
moo+cow,,y,cow,animals,,,song characters,,,"""Itsy+bitsy+spider""
DO NOT INCLUDE: ""Old McDonald,"" ""Bingo"" in ""Bingo was his name-o""",,Dr Suess's ABC,Queen+of+quincy,y,queen
panda+bear,,y,panda,animals,,,tv characters,y,y,,,Dr Suess's ABC,zizzer+zazzer+zuzz,y,zizzer+zazzer+zuzz
pet,,y,pet,animals,,,x-time,y,x,"where x=noun, e.g. bath-time, shirt-time, diaper-time, etc. at basic level, this word would just go to bath, shirt, diaper, etc.",,Goodnight Goon,goon,y,goon (only keep if it's a specific thing like in this book!)
polar+bear,,y,bear,animals,,,,,,,,Itsy Bitsy Spider,Itsy+bitsy+spider,y,spider (character)
rattlesnake,,y,snake,animals,,,,,,,,Itsy Bitsy Spider,waterspout / spout,y,spout
stink+bug,,y,bug,animals,,,,,,,,Itsy Bitsy Spider,rain,y,NA
whiskers,,y,whisker,animals,,,,,,,,Itsy Bitsy Spider,sun,y,sun
baby+monitor,,y,baby+monitor,baby care,,,,,,,,Little Blue Truck book,"Blue, Little+blue",y,Collapse these (usually goes to Blue); do NOT collapse with Little+blue+truck
blanket,blanky,y,"include, see here",baby care,,,,,,,,Little Blue Truck book,Little+blue+truck (the book title),y,Little+blue+truck
booster+seat,,y,booster+seat,baby care,,,,,,,,Little Blue Truck book,little+blue+truck (the character),y,truck
bottle,baba,y,"include, see here",baby care,,,,,,,,Little Blue Truck book,mire,y,NA
bumbo,,y,(lower case),baby care,,,,,,,,Little Blue Truck book,muck,y,NA
diaper,"diapey, diape, diapeys for plural",y,"include, see here",baby care,so many diapeys!,,,,,,,Llama Llama books,Llama+llama,y,llama
diaper+change,,y,,baby care,,,,,,,,Llama Llama books,"red+pajama (code separately when it's after Llama+llama, unless it's the book title)",y,pajama
formula,,y,formula,baby care,,,,,,,,Pattycake,bakers+man,n,
pacifier,paci,y,"include, see here",baby care,,,,,,,,Pattycake,"cake (in ""bake me a cake"")",y,cake
sunscreen,,y,sunscreen,baby care,,,,,,,,Pattycake,pattycake,n,
teething+ring,,y,ring,baby care,,,,,,,,"Picture Book (Dax, Banoona, and Shang)",banoona/banoonas,y,banoona
wubba/wubbanub,,y,most common form,baby care,,,,,,,,"Picture Book (Dax, Banoona, and Shang)",dax/daxes,y,dax
bite+mark,,n,,bodily functions,,,,,,,,"Picture Book (Dax, Banoona, and Shang)",shang/shangs,y,shang
boo+boo,,y,NA,bodily functions,,,,,,,,Star Wars,B+b+eight,y,B+b+eight
bug+bite,,n,,bodily functions,,,,,,,,Star Wars,C+three+p+o,y,C+three+p+o
burp,,n,,bodily functions,,,,,,,,Star Wars,Chewbacca,y,Chewbacca
pee,,y,NA,bodily functions,,,,,,,,Star Wars,ewok,y,ewok
poop,"dooty, poo+poo",y,NA,bodily functions,,,,,,,,Star Wars,Jabba+the+hutt,y,hutt
snot,,y,NA,bodily functions,,,,,,,,Star Wars,lightsaber,y,lightsaber
spit up,spit,y,NA,bodily functions,,,,,,,,Star Wars,Princess+leia,y,princess
tears,,y,NA,bodily functions,,,,,,,,Star Wars,"probe+droid, any other droid",y,droid
abs,,y,abs,body parts,,,,,,,,Star Wars,R+two+d+two,y,R+two+d+two
back,,y,back,body parts,as in the body part not 'back of the table',,,,,,,Star Wars,stormtrooper,y,stormtrooper
bangs,,y,bangs,body parts,,,,,,,,Star Wars,tauntaun,y,tauntaun
